NICKstateNAME                   2011/can/toronto2011.tou 20110925
ATAM --- Adrian Tamas          354 1839 20100108
PKHO MYS Preedee Khongthanara  199 1839 20110626
PEDW TZA Phillip Edwin-Mugish  196 1839 20110423
LLI  --- Lim Li Wei            178 1839 20091208
RKHA --- Rashid Khan           117 1839 20091129
TSUT --- Taewan Sutthasin      651 1838 20110626
JROS --- Joan Rosenthal        276 1838 20081130
ASAK --- Atiruth Sakdiyakorn   151 1838 20090628
CCRE --- Chris Cree            106 1838 20110925
JMCG GBR Joseph McGinley        64 1838 20110123
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
WKHA IND Waseem Khatri         138 1837 20101205
RZIN ISR Ricky Zinger           20 1835 20091016
WMWA --- Willy Mwangi          214 1834 20110423
AKAN --- Alistair Kane         208 1834 20080505
CFEN GBR Christopher Fenwick    13 1834 20080210
GWRI --- Geoff Wright           79 1833 20001126
WIQB --- Wajid Iqbal           186 1832 20080113
CREI USA Charles Reinke         15 1832 20101003
RLIN --- Robert Linn           478 1831 20110925
SSUN --- Steve Sunter           79 1831 20001126
EPER --- Esther Perrins        286 1830 20100816
NMBU --- Nicholas Mbugua       175 1830 20110423
JJAC GBR Jake Jacobs            94 1830 20090109
NKWA --- Nana Kwame             24 1830 20000423
AHAH --- Albert Hahn           296 1829 20101205
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
RAND MYS Ryan Anderson         115 1827 20101205
MPAN CAN Max Panitch           107 1827 20110925
RBUC USA Richard Buck           62 1827 20110905
DPOD --- David Poder            24 1827 20051119
MSIR --- Marut Siriwangso      374 1826 20110626
CMEN --- Christian Mensah      143 1823 20110909
GNEW --- Geoffrey Newman        35 1823 20100926
SPER GBR Steve Perry           282 1822 20110123
PSIN --- Peter Sinton          265 1822 20100816
AWEB --- Alec Webb             111 1822 20110103
MPRU --- Marlon Prudencio      471 1821 20110626
JRYA GHA Jacob Ryan             30 1821 20101024
SKAN --- Sam Kantimathi        899 1820 20110925
BIDA NGA Bright Idahosa        105 1820 20110909
PMOO THA Phuttaphong Moolasar   54 1819 20100620
UGRO --- Udayan Grover         292 1817 20110117
SHAR --- Simon Harinworrarob   276 1817 20080629
AFAS --- Ayo Faseyiro           24 1817 20021020
RCHA --- Ranganathan Chakrav   266 1815 20110117
MTEO --- Martin Teo            230 1815 20110617
VCHU --- Victor Chua           131 1814 20091204
MQUA --- Michael Quao          267 1813 20101024
BUFE NGA Ben Ufeli              79 1813 20101031
BWIL GBR Ben Wilson             32 1813 20100124
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
JMCK --- Julian McKail         127 1811 20110626
TBAR --- Thitipol Barameem     109 1811 20110626
JFOS --- John Foster           167 1810 20100816
TMAY --- Tuoyo Mayuku          129 1810 20110909
RDEL --- Renante dela Cerna     56 1810 20090920
SVIJ --- Sinna Vijayakumar      48 1810 20070909
COTO GHA Carlos Otoo            30 1810 20101024
MCHA GBR Michael Chappell       25 1809 20080505
NSAY --- Nawapadol Sayavesa    377 1808 20101205
BHAR --- Barry Harridge         58 1807 20061129
FEJI NIG Fuoye Ejiro            23 1807 20110909
OKAB NIG Olaiya Kabir           23 1807 20110909
SBRO --- Steven Brown          120 1806 20100816
BJAC --- Bob Jackman           758 1805 20110626
JCAR GBR Jason Carney           38 1805 20090109
LCHA --- Leslie Charles        175 1804 20110925
DPRA --- Daniel Pratt           24 1804 20071111
PTHO GBR Paul Thompson          18 1804 20110103
MCHO --- Montien Choltichanan  160 1803 20090628
BSUG --- Brian Sugar           137 1803 20110103
MEAR USA Michael Early          38 1802 20081116
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
ORIV --- Oscar Rivera          269 1801 20101211
JGON --- Jodi Gonzalez          86 1801 20051218
FAWO --- Femi Awowade          740 1800 20110909
RLOB --- Ralph Lobo            502 1800 20110624
RTAL --- Rod Talbot            231 1799 20110626
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
TKIR --- Terry Kirk            474 1798 20110515
RHON --- Russell Honeybun      190 1798 20110626
CDOD --- Carmel Dodd           330 1795 20110515
AOYE TZA Allan Oyende          166 1795 20110423
MBAK --- Michael Baker          24 1795 20071111
SYEN --- Shim Yen Nee          408 1794 20110626
JHOL --- John Holgate          310 1794 20081130
NPRA --- Nakul Prabhu          263 1794 20110117
BLYN GBR Bob Lynn               86 1794 20110105
TCHA --- Travis Chaney         150 1793 20110327
RFUA --- Raja Fuadin            95 1793 20021222
BWIT --- Benjamin Withers       61 1793 20110717
JNEV --- Johnny Nevarez         36 1793 19951026
VIKA --- Victor Ikawa          127 1792 20091129
PRAY --- Paloma Raychbart      271 1791 20100518
MEIC --- Maor Eichler           24 1791 20011216
DSAL --- Dielle Saldanha       117 1790 20110925
AKWH --- Akkarapol Kwhansak     54 1790 20110626
FOLO --- Fidelis Olotu         108 1789 20100816
CQUA GBR Chris Quartermaine     49 1789 20091011
GLAM --- Gwen Lampre             8 1789 19991102
PKAL --- Paul Kalumba          150 1787 20101024
BGRO GBR Barry Grossman         93 1787 20100108
DLLO --- David Lloyd            72 1787 20031023
SWAL MYS Simon Walton           45 1787 20091204
JIDA MYS Jason Idalski          59 1786 20110717
AADE GBR Adekoyejo Adegbesan    48 1786 20110105
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
RCRE --- Ronald Credo          246 1785 20110624
ASOS GBR Abraham Sosseh         57 1785 20100108
PJOH MYS Pat John               33 1785 20081130
IWIL NGA Isong Williams         82 1784 20101205
MMAR --- Mwaka Martin           42 1784 20030608
YEN  --- Yi En Gan             161 1782 20110528
JDAY MYS Jesse Day              25 1782 20091208
AOGH NGA Akpome Oghenemere      45 1780 20110909
NESA --- Niyi Esan              24 1780 20000423
GJIA --- Goh Jiang Pern        411 1779 20101205
ABRA --- Andrew Bradley         72 1779 20100816
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
MWAF TZA Mackton Wafula         73 1778 20110423
SO'N --- Shane O'Neill          48 1778 20071111
FOMO NGA Friday Omorogbe        33 1778 20091009
NDEC --- Noppadol Dechat       108 1776 20090628
MO'R GBR Mike O'Rourke          88 1776 20090503
RMCK USA Rahn McKeown           22 1776 20110221
RPUR --- Ricky Purnomo         633 1775 20110626
VAMA --- Victor Amartey         78 1775 20101024
MWHI --- Mike Whiteoak          71 1775 20091016
BVIO MLT Bob Violett            70 1775 20091011
DFRA --- Darryl Francis        167 1773 20090109
MCHA GBR Maureen Chamberlain    57 1773 20100108
ACHO --- Apirat Choomai        380 1772 20110626
DSTE GBR David Steel           154 1772 20110123
MSUL --- Mohammad Sulaiman     361 1771 20110703
GCHE --- Gan Cher Siong        236 1771 20070625
SCHU --- Scott Chung            71 1771 20081209
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
LFRE USA Lucas Freeman          14 1771 20110320
CWOR MYS Charas Worapotpisut   131 1770 20110626
VBER --- Victor Berdie          24 1770 20000423
LLAB --- Leonora Labog         132 1769 20110626
CLE  USA Cecilia Le             12 1769 20110206
MSTA --- Margaret Staunton      16 1768 20030630
GCAR --- Gerry Carter          855 1767 20110703
KSWA --- Kathy Swan             16 1767 20030630
FWAC --- Francis Wachira       211 1766 20110423
PBUR GBR Paul Burton           128 1766 20090406
NSAL --- Norbert Saldanha       82 1766 19990815
RRIC --- Robert Richland        72 1766 20080910
JNAN --- Jim Nanavati           45 1766 19991106
NOGE --- Nerville Ogedegbe      38 1766 20081005
BKPE --- Bennet Kpentey        150 1765 20101024
KBEN --- Khoo Beng Way         101 1765 20081209
ASMI GHA Anthony Smith          30 1765 20101024
ECLI USA Evans Clinchy          18 1765 20110905
AGBO --- Alex Gboye Balogun    204 1764 20110123
LPRA --- Linda Pray             59 1764 19991106
NFIS USA Norma Fisher           40 1764 20100816
JLAM --- John Lam              308 1763 20090619
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
CPLA --- Chrys Placca          389 1762 20110909
MDEM --- Martin DeMello        296 1762 20110117
MSHE --- Martin Sheehan         12 1762 20071203
JMCL GBR Jackie McLeod          78 1760 20100518
KKIA --- Korakoch Kiatsommart   27 1759 20040628
JWID --- Jeff Widergren         18 1758 19951026
BKOY --- Bernard Koyyoko        91 1757 20110423
NROW GBR Neil Rowley            37 1757 20080111
MBRO --- Maurice Brown          34 1757 20080504
CDAV GBR Christo Davison        13 1757 20080210
PSOD --- Paul Sodje            103 1756 20110909
KCHO --- Kong Chock Heng       309 1755 20090619
KMER USA Karen Merrill          16 1755 20100320
JCHE CAN John Chew              47 1754 20110410
RFIN --- Ros Finn               24 1754 19980412
DWHI USA David Whitley          20 1754 20110327
CWOR --- Charae Worapotpisut   345 1753 20110626
WKAN --- William Kang          216 1752 20110617
NWAG --- Njihia Wagachiru       24 1752 20021020
DLEB --- Denise Lebron          24 1751 19980412
ATAN --- Alex Tan              481 1749 20110626
CMUS GBR Cecil Muscat          388 1749 20110515
NESS NGA Nduonyi Essang         34 1749 20091009
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
MJAC THA Mpakaboari Jack       238 1748 20110117
JSNG --- Joshua Sng             40 1747 20061201
JDEL --- Jojo Delia            253 1746 20110515
DKAN --- David Kangethe        163 1746 20110423
LCAP --- Leo Capuno            125 1746 20090606
WSUK --- Worasit Suksaensam     94 1746 20101128
KPOK --- Kwame Poku             24 1746 20011216
DANN GHA David Annor            53 1745 20101031
ACLO --- Aaron Clottey          24 1745 20011216
OAKA IND Olobatoke Aka         280 1744 20101205
GLOC --- Graeme Lock Lee       113 1744 20100816
WJIR MYS Wanchana Jirapitikul  106 1743 20091210
