NICKstateNAME                   2010/isr/israel10.tou 20101010
TSUP --- Tanasak Supaphibunk   130 1812 20100620
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
CPLA --- Chrys Placca          314 1811 20091204
MOTI --- Manase Otieno         211 1811 20081010
GCAR --- Gerry Carter          742 1810 20100620
JFOS --- John Foster           167 1810 20100816
DSAL --- Dielle Saldanha        91 1810 20091130
RDEL --- Renante dela Cerna     56 1810 20090920
SVIJ --- Sinna Vijayakumar      48 1810 20070909
MCHA GBR Michael Chappell       25 1809 20080505
OFRI NGA Ogbonyomi Friday       21 1809 20091009
BHAR --- Barry Harridge         58 1807 20061129
SBRO --- Steven Brown          120 1806 20100816
JCAR GBR Jason Carney           38 1805 20090109
DPRA --- Daniel Pratt           24 1804 20071111
UGRO --- Udayan Grover         221 1803 20100827
MCHO --- Montien Choltichanan  160 1803 20090628
MEAR USA Michael Early          38 1802 20081116
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
JGON --- Jodi Gonzalez          86 1801 20051218
RHON --- Russell Honeybun      118 1800 20091208
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
RMAC --- Ross Mackenzie         37 1797 20100124
RPUR --- Ricky Purnomo         541 1796 20100620
BLYN GBR Bob Lynn               38 1796 20090109
OAKA IND Olobatoke Aka         205 1795 20091204
MBAK --- Michael Baker          24 1795 20071111
JHOL --- John Holgate          310 1794 20081130
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
VIKA --- Victor Ikawa          127 1792 20091129
PRAY --- Paloma Raychbart      271 1791 20100518
SGIL --- Simon Gillam           85 1791 20100518
MEIC --- Maor Eichler           24 1791 20011216
FOLO --- Fidelis Olotu         108 1789 20100816
CQUA GBR Chris Quartermaine     49 1789 20091011
GLAM --- Gwen Lampre             8 1789 19991102
BGRO GBR Barry Grossman         93 1787 20100108
DLLO --- David Lloyd            72 1787 20031023
SWAL MYS Simon Walton           45 1787 20091204
TWOK NGA Timi Woko              35 1787 20091009
EBOB NGA Edewor Bobor           20 1787 20091009
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
ASOS GBR Abraham Sosseh         57 1785 20100108
PJOH MYS Pat John               33 1785 20081130
DPRA MYS Diane Pratesi          25 1785 20091208
DBUA --- Daniel Buadu Akrong    24 1785 20041003
MMAR --- Mwaka Martin           42 1784 20030608
JDAY MYS Jesse Day              25 1782 20091208
TSIM --- Tony Sim             1016 1781 20100827
NESA --- Niyi Esan              24 1780 20000423
ABRA --- Andrew Bradley         72 1779 20100816
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
GRIC --- Geria Richard         136 1778 20100606
SO'N --- Shane O'Neill          48 1778 20071111
MWAF TZA Mackton Wafula         48 1778 20081010
FOMO NGA Friday Omorogbe        33 1778 20091009
NDEC --- Noppadol Dechat       108 1776 20090628
MO'R GBR Mike O'Rourke          88 1776 20090503
MWHI --- Mike Whiteoak          71 1775 20091016
BVIO MLT Bob Violett            70 1775 20091011
DFRA --- Darryl Francis        167 1773 20090109
MCHA GBR Maureen Chamberlain    57 1773 20100108
GCHE --- Gan Cher Siong        236 1771 20070625
SCHU --- Scott Chung            71 1771 20081209
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
PEDW TZA Phillip Edwin-Mugish  141 1769 20100606
MSTA --- Margaret Staunton      16 1768 20030630
KSWA --- Kathy Swan             16 1767 20030630
PBUR GBR Paul Burton           128 1766 20090406
NSAL --- Norbert Saldanha       82 1766 19990815
RRIC --- Robert Richland        72 1766 20080910
JNAN --- Jim Nanavati           45 1766 19991106
NOGE --- Nerville Ogedegbe      38 1766 20081005
KBEN --- Khoo Beng Way         101 1765 20081209
LPRA --- Linda Pray             59 1764 19991106
NFIS USA Norma Fisher           40 1764 20100816
JLAM --- John Lam              308 1763 20090619
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
CMEN --- Christian Mensah       89 1762 20091204
MSHE --- Martin Sheehan         12 1762 20071203
RCHA --- Ranganathan Chakrav   240 1761 20100115
JMCL GBR Jackie McLeod          78 1760 20100518
BUFE NGA Ben Ufeli              56 1760 20091009
KKIA --- Korakoch Kiatsommart   27 1759 20040628
JWID --- Jeff Widergren         18 1758 19951026
NROW GBR Neil Rowley            37 1757 20080111
