NICKstateNAME                   2011/ger/germopen.tou 20110313
DLLO --- David Lloyd            72 1787 20031023
SWAL MYS Simon Walton           45 1787 20091204
TWOK NGA Timi Woko              35 1787 20091009
AADE GBR Adekoyejo Adegbesan    48 1786 20110105
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
AOGH NGA Akpome Oghenemere      23 1786 20101031
JJON --- Jj Jonah               21 1786 19971127
ASOS GBR Abraham Sosseh         57 1785 20100108
PJOH MYS Pat John               33 1785 20081130
MSUL --- Mohammad Sulaiman     263 1784 20110105
IWIL NGA Isong Williams         82 1784 20101205
UAND --- Umogbai Andrew         47 1784 20101031
MMAR --- Mwaka Martin           42 1784 20030608
JDAY MYS Jesse Day              25 1782 20091208
NESA --- Niyi Esan              24 1780 20000423
GJIA --- Goh Jiang Pern        411 1779 20101205
ABRA --- Andrew Bradley         72 1779 20100816
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
GRIC --- Geria Richard         136 1778 20100606
SO'N --- Shane O'Neill          48 1778 20071111
MWAF TZA Mackton Wafula         48 1778 20081010
FOMO NGA Friday Omorogbe        33 1778 20091009
NDEC --- Noppadol Dechat       108 1776 20090628
MO'R GBR Mike O'Rourke          88 1776 20090503
RMCK USA Rahn McKeown           22 1776 20110221
VAMA --- Victor Amartey         78 1775 20101024
MWHI --- Mike Whiteoak          71 1775 20091016
BVIO MLT Bob Violett            70 1775 20091011
DFRA --- Darryl Francis        167 1773 20090109
MCHA GBR Maureen Chamberlain    57 1773 20100108
DSTE GBR David Steel           154 1772 20110123
GCHE --- Gan Cher Siong        236 1771 20070625
SCHU --- Scott Chung            71 1771 20081209
ATAN --- Austin Tan Kiat        44 1771 19990627
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
CLIP USA Chris Lipe             22 1770 20110221
CLE  USA Cecilia Le             12 1769 20110206
SYEN --- Shim Yen Nee          361 1768 20101205
MSTA --- Margaret Staunton      16 1768 20030630
KSWA --- Kathy Swan             16 1767 20030630
PBUR GBR Paul Burton           128 1766 20090406
NSAL --- Norbert Saldanha       82 1766 19990815
RRIC --- Robert Richland        72 1766 20080910
JNAN --- Jim Nanavati           45 1766 19991106
NOGE --- Nerville Ogedegbe      38 1766 20081005
BKPE --- Bennet Kpentey        150 1765 20101024
KBEN --- Khoo Beng Way         101 1765 20081209
ASMI GHA Anthony Smith          30 1765 20101024
AGBO --- Alex Gboye Balogun    204 1764 20110123
LPRA --- Linda Pray             59 1764 19991106
NFIS USA Norma Fisher           40 1764 20100816
JLAM --- John Lam              308 1763 20090619
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
MDEM --- Martin DeMello        296 1762 20110117
MSHE --- Martin Sheehan         12 1762 20071203
JMCL GBR Jackie McLeod          78 1760 20100518
KKIA --- Korakoch Kiatsommart   27 1759 20040628
MCHU --- Mohan Chunkath        404 1758 20110117
JWID --- Jeff Widergren         18 1758 19951026
NROW GBR Neil Rowley            37 1757 20080111
MBRO --- Maurice Brown          34 1757 20080504
CDAV GBR Christo Davison        13 1757 20080210
KCHO --- Kong Chock Heng       309 1755 20090619
KMER USA Karen Merrill          16 1755 20100320
DDEL --- David Delicata        213 1754 20100518
RFIN --- Ros Finn               24 1754 19980412
ISID --- Irfan Siddiqui        266 1753 20110117
TKUK --- Thanapong Kukiet      172 1752 20100620
NWAG --- Njihia Wagachiru       24 1752 20021020
CWOR --- Charae Worapotpisut   318 1751 20100620
DLEB --- Denise Lebron          24 1751 19980412
CMUS GBR Cecil Muscat          332 1750 20110105
JIDA MYS Jason Idalski          39 1749 20100711
NESS NGA Nduonyi Essang         34 1749 20091009
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
MJAC THA Mpakaboari Jack       238 1748 20110117
ATAN --- Alex Tan              434 1747 20101205
JSNG --- Joshua Sng             40 1747 20061201
LCAP --- Leo Capuno            125 1746 20090606
WSUK --- Worasit Suksaensam     94 1746 20101128
KPOK --- Kwame Poku             24 1746 20011216
DANN GHA David Annor            53 1745 20101031
ACLO --- Aaron Clottey          24 1745 20011216
RSHA --- Rocky Sharma            8 1745 20061128
OAKA IND Olobatoke Aka         280 1744 20101205
FWAC --- Francis Wachira       186 1744 20100606
GLOC --- Graeme Lock Lee       113 1744 20100816
WJIR MYS Wanchana Jirapitikul  106 1743 20091210
GHAI GBR Graham Haigh           61 1743 20110105
MMCP --- Marcia McPhee          21 1743 20031228
LBIN --- Lois Binnie            38 1740 20100816
DSAN --- Dan Sandu             230 1739 20110313
BAMU --- Benard Amuke          114 1739 20081010
BWIT --- Benjamin Withers       41 1739 20050703
RHAY ISR Rael Hayman            38 1738 20090503
PKHO MYS Preedee Khongthanara  172 1737 20101210
WSAE --- Weera Saengsit        152 1737 20100620
BOKO GHA Bob Okoridem           75 1737 20101205
MPAN GBR Mihai Pantis          154 1736 20110313
CGUO --- Chia Guo Cong          75 1736 20081130
NFRA MYS Nsidibe Frank          45 1736 20101205
JDE  --- Jose de Abreu         172 1735 20110117
JLAB PHL Jullence Labalan       33 1735 20101211
AEBI NGA Ambaderemo Ebiowei     20 1735 20091009
BMCD --- Brendan McDonnell      60 1734 20051119
SSAL --- Salah Salih           305 1733 20090606
HMAU MYS Helen Maurus           78 1733 20101205
DPRA MYS Diane Pratesi          50 1733 20101210
SLOB --- Selwyn Lobo           402 1732 20100827
JWAR --- Jim Warmington          8 1732 19991102
JUBE CAN Jason Ubeika            7 1732 20100716
MMAN --- Maida Manaog          158 1731 20050626
RONA --- Robbie Onate          282 1730 20090920
BKIN --- Borom Kinthong         80 1730 20080629
JSEK USA James Sekyi            24 1728 20081116
ACHU --- Albert Chune           21 1728 19971127
MZUC --- Maria Zucco             6 1728 19991031
IBON --- Irland Bonzon          18 1727 19970526
SGUP --- Sanjoy Gupta          326 1726 20110117
CPET --- Chatchawin Petchlert  161 1726 20060702
HLON MYS Heather Long          115 1726 20101205
GSAN --- Gbade Sanda            24 1726 20000423
SJAM NIR Sarah-Jane Jamison     13 1726 20110123
EMUE --- Edie Mueller          268 1725 20101205
RTAL --- Rogelio Talosig       163 1725 20100816
NFIN --- Nicole Findlay         14 1725 19991102
PTHO GBR Peter Thomas          188 1724 20110123
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
GOWE GBR Gwynfor Owen           12 1724 20081101
RJUD --- Rodney Judd            56 1723 20091129
AGOL --- Andrew Golding        205 1722 20101205
AHAM --- Andrew Hamblin         23 1722 19961125
VBOY MLT Vincent Boyle         109 1721 20100518
SSIM --- Sandie Simonis         67 1721 20101010
RWEB GBR Ronan Webb             76 1720 20110123
FTHE --- Francis Theuri         72 1720 20081010
SBUC GBR Siobhan Buckley        13 1720 20080210
RHON --- Russell Honeybun      163 1719 20101205
RSUN --- Ramaraj Sundraraj     131 1719 20101205
ACHO --- Apirat Choomai        353 1718 20101205
YEN  --- Yi En Gan             130 1718 20110313
RHAM USA Ruth Hamilton          85 1718 20110221
ARIV --- Ashby Rivera           26 1718 20020707
CMEN --- Christian Mensah      119 1717 20101024
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
NO'R --- Nuala O'Rourke        178 1715 20100124
KKUM --- Krishna Kumar          50 1714 20000528
SAHM --- Shaikh Ahmed          175 1713 20110117
RMAC --- Ross Mackenzie         55 1713 20110103
DSIM --- Daniel Simonis         32 1713 20060930
FMAG --- Fred Magu              96 1711 20081010
AABR --- Arvind Abraham        221 1710 20060609
HEMM NGA Henda Emmanuel         20 1710 20091009
CKEE --- Chris Keeley           75 1709 20100518
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
KNGO --- Kenrick Ngo            55 1708 20000705
