NICKstateNAME                   2009/gbr/ukopen09.tou 20090109
AMET --- Arun Methaseth        365 1714 20080629
JLAM --- John Lam              288 1714 20080622
KKUM --- Krishna Kumar          50 1714 20000528
DSIM --- Daniel Simonis         32 1713 20060930
FMAG --- Fred Magu              96 1711 20081010
AABR --- Arvind Abraham        221 1710 20060609
ABRA --- Andrew Bradley         48 1710 20041126
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
JLOR --- Jocelyn Lor           563 1708 20081211
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
SDIC USA Sam Dick-Onuoha        24 1708 20081116
OAJA GBR Olakunle Ajayi         19 1708 20080910
KRIC --- Karen Richards        337 1707 20090109
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
DKAN --- David Kangethe        114 1706 20081010
GLAW --- Glenys Lawrie          24 1706 20001126
SBOO --- Surachaste Boonya     109 1705 20041219
RSUN --- Ramaraj Sundraraj      86 1705 20081209
FOLO --- Fidelis Olotu          56 1705 20081005
MDEM --- Martin DeMello        177 1704 20080113
MRAN --- Mario Ranasuriya      127 1704 20030803
JMAN --- Joash Manyasa         114 1704 20081010
FANT --- Ferdy Anthonius       161 1703 20081211
JOMO --- Jack Omondi           113 1703 20081010
MFIL --- Maricris Filio         18 1703 19970526
NOMA --- Nadeem Omar            18 1702 19980920
MSUL --- Mohammed Sulaiman      35 1701 20040109
PARR --- Peter Arreola          75 1700 20030629
MPAN GBR Mihai Pantis           55 1700 20080504
IADD --- Isaac Addo             24 1700 20000423
EWAL MLT Evelyn Wallace         18 1699 20080504
SKYA --- Sue Kyatt              64 1698 20021118
CWOR --- Charae Worapotpisut   264 1697 20080629
DASS --- Dixon Assesa          158 1697 20080405
BGRO GBR Barry Grossman         55 1697 20081026
MMAN --- Mensah Mantey          24 1697 20000423
CWUT --- Chaiwat Wuthinitikor  137 1696 20080629
GRIC --- Geria Richard         112 1695 20081010
