NICKstateNAME                   2011/mys/jbprr25.tou 20111208
KHIR --- Keiichiro Hirai       156 1762 20111015
GLOC --- Graeme Lock Lee        68 1762 20100816
DANN GHA David Annor            53 1762 20101031
PEDW UGA Phillip Edwin-Mugish  124 1760 20111130
ISUN NGA Ishaya Sunny           43 1760 20110909
MTHE USA Michael Thelen         18 1760 20100215
KKIA --- Korakoch Kiatsommart   27 1759 20040628
JMCL MLT Jackie McLeod          53 1758 20100518
JWID --- Jeff Widergren         18 1758 19951026
IWIL NGA Isong Williams         68 1756 20101205
LCHA --- Leslie Charles        106 1755 20110925
BKPE --- Bennet Kpentey        150 1754 20101024
JPAG MYS Jarrod Page            45 1754 20111130
RFIN --- Ros Finn               24 1754 19980412
SGIL --- Simon Gillam          167 1753 20111113
TSUP --- Tanasak Supaphibunk   155 1753 20111130
MDEM --- Martin DeMello        248 1752 20110117
CMUS GBR Cecil Muscat          215 1752 20110515
NWAG --- Njihia Wagachiru       24 1752 20021020
DLEB --- Denise Lebron          24 1751 19980412
NO'R --- Nuala O'Rourke         52 1750 20100124
RDOM POL Rafal Dominiczak       34 1750 20111015
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
TWIL GBR Tom Wilson             18 1748 20110103
ATAN --- Alex Tan              460 1747 20111130
MOTI --- Manase Otieno         246 1747 20111015
JSNG --- Joshua Sng             40 1747 20061201
NFIS USA Norma Fisher           40 1747 20100816
KPOK --- Kwame Poku             24 1746 20011216
MMCK --- Michael McKenna       220 1745 20111208
JDEL --- Jojo Delia            215 1745 20110515
AOYE UGA Allan Oyende           49 1745 20110423
ACLO --- Aaron Clottey          24 1745 20011216
DWHI USA David Whitley          20 1745 20110327
OMAG --- Onani Magwanga        115 1744 20110423
OAKI PHL Oluwafemi Akinlosotu   24 1744 20101210
JLAM --- John Lam              268 1743 20070824
SSIM --- Sandie Simonis         47 1743 20101010
MMCP --- Marcia McPhee          21 1743 20031228
CWUT --- Chaiwat Wuthinitikor  111 1742 20071204
JLAB PHL Jullence Labalan       33 1741 20101211
APLO --- Amnuay Ploysangngam   535 1740 20111120
DKAN --- David Kangethe        139 1739 20110423
GFOS --- Glenda Foster          56 1739 20041126
FOLO --- Fidelis Olotu          55 1739 20100816
MTAN --- Michael Tang          662 1737 20110626
MCHA GBR Maureen Chamberlain    38 1737 20100108
OCHA NIG Okoye Charles          21 1737 20110909
KMER USA Karen Merrill          16 1737 20100320
MCHU --- Mohan Chunkath        382 1735 20110703
LLI  --- Lim Li Wei            109 1735 20071204
PTHO GBR Peter Thomas           91 1735 20110123
JOMO --- Jack Omondi            66 1735 20030608
SNAN USA Sandy Nang            131 1734 20111130
BMCD --- Brendan McDonnell      60 1734 20051119
SLOB --- Selwyn Lobo           402 1733 20110624
JWAR --- Jim Warmington          8 1732 19991102
MMAN --- Maida Manaog          158 1731 20050626
CPAI --- Carolann Pais         181 1730 20111130
LBIN --- Lois Binnie            38 1730 20100816
WSUK --- Worasit Suksaensam     67 1729 20101128
VIKA --- Victor Ikawa           48 1729 20050327
ACHU --- Albert Chune           21 1728 19971127
PZEI USA Pete Zeigler           15 1728 20100711
MZUC --- Maria Zucco             6 1728 19991031
PMOO THA Phuttaphong Moolasar   27 1727 20100620
IBON --- Irland Bonzon          18 1727 19970526
CPET --- Chatchawin Petchlert  161 1726 20060702
GSAN --- Gbade Sanda            24 1726 20000423
AROU GBR Andy Roughton          17 1726 20110103
RGON --- Ricardo Gonzalez      362 1725 20110624
NFIN --- Nicole Findlay         14 1725 19991102
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
CABO --- Chris Abordo          211 1722 20101210
JDE  --- Jose de Abreu         124 1722 20110117
ASIN --- Alan Sinclair          36 1722 20111113
AHAM --- Andrew Hamblin         23 1722 19961125
EARC NGA Etim Archibong         23 1722 20101031
PSEE --- Prashanth Seetharam   117 1720 20110717
GHAI GBR Graham Haigh          142 1719 20111208
ARIV --- Ashby Rivera           26 1718 20020707
EMUE --- Edie Mueller          210 1717 20111130
RMAC --- Ross Mackenzie         43 1717 20110103
JAYU MYS Jowar Ayuno            78 1716 20101211
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
SJAM NIR Sarah-Jane Jamison     13 1716 20110123
RSUN --- Ramaraj Sundraraj      89 1715 20101205
KKUM --- Krishna Kumar          50 1714 20000528
CFAR MYS Cameron Farlow         70 1714 20111208
OGAR MYS Oliver Garner          24 1714 20111208
DSIM --- Daniel Simonis         32 1713 20060930
RTAL --- Rogelio Talosig       163 1712 20100816
BAMU --- Benard Amuke           91 1712 20110423
JKHO MYS Jeremy Khoo            22 1711 20111208
AABR --- Arvind Abraham        221 1710 20060609
ASAP --- Akosa Sapong           24 1709 20000423
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
CQUA GBR Chris Quartermaine     12 1709 20111113
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
CHAR GBR Chris Harrison         18 1707 20110103
GLAW --- Glenys Lawrie          24 1706 20001126
SBOO --- Surachaste Boonya     109 1705 20041219
JOMO KEN Jared Omolo            25 1705 20110423
MRAN --- Mario Ranasuriya      127 1704 20030803
RJUD --- Rodney Judd           102 1704 20111208
DBUA --- Daniel Buadu Akrong    54 1704 20101024
MFIL --- Maricris Filio         18 1703 19970526
VBOY GBR Vincent Boyle         147 1702 20110515
OVIC GHA Owokere Victor         75 1702 20111130
NOMA --- Nadeem Omar            18 1702 19980920
AGOL --- Andrew Golding        143 1701 20111015
BOKO GHA Bob Okoridem          120 1701 20111130
RWEB GBR Ronan Webb             51 1701 20110123
MSUL --- Mohammed Sulaiman      35 1701 20040109
COKT MYS Christian Oktavius    110 1700 20111130
CGUO --- Chia Guo Cong          42 1700 20071204
IADD --- Isaac Addo             24 1700 20000423
JUBE CAN Jason Ubeika            7 1700 20100716
MMIR --- Mario Miranda         118 1699 20101211
SKYA --- Sue Kyatt              64 1698 20021118
TOUT KEN Tobias Outi            25 1698 20110423
CRUT --- Cecilia Ruto          192 1697 20110423
KACH --- Kojo Acheampong        78 1697 20101024
JLOR --- Jocelyn Lor           647 1696 20111208
TMIC --- Tim Michaels          109 1694 20110424
VCHU --- Victor Chua            42 1693 20071130
MGOH --- Marcus Goh             62 1692 20071130
ASUM PHL Abdul Suma             25 1692 20101210
MRIV --- Marcelo Rivera         18 1692 19970526
