NICKstateNAME                   2008/nga/2akpabio.tou 20081005
MHOR --- Michael Hornung        49 1844 20071129
LBUT --- Lynne Butler          159 1843 20071111
PFIN --- Pete Finley            66 1843 20051119
KKHA --- Kweku Khan             24 1842 20000423
GHAI GBR Graham Haigh           13 1842 20080210
RJER --- Richard Jeremy         24 1841 20061106
DSHE GBR David Shenkin          19 1841 20080910
LLAB --- Leonora Labog          52 1838 20070625
EMEN --- Edem Mensah            21 1838 19971127
BPAC --- Bryn Packer            12 1838 20071203
NONO NGA Noble Onoshevwe        14 1837 20081005
AKAN --- Alistair Kane         208 1834 20080505
CFEN GBR Christopher Fenwick    13 1834 20080210
DFRA --- Darryl Francis        129 1833 20080111
GWRI --- Geoff Wright           79 1833 20001126
MCHA GBR Maureen Chamberlain    19 1833 20080910
WIQB --- Wajid Iqbal           186 1832 20080113
SSUN --- Steve Sunter           79 1831 20001126
NKWA --- Nana Kwame             24 1830 20000423
KCHO --- Kong Chock Heng       271 1829 20070824
ACHO --- Aaron Chong           209 1829 20070824
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
MWIW --- Maiyarit Wiwat         27 1828 20070625
RLOB --- Ralph Lobo            361 1827 20080606
MWHI --- Mike Whiteoak          51 1827 20080111
DPOD --- David Poder            24 1827 20051119
CABO --- Chris Abordo          186 1826 20040604
PMPU --- Patrick Mpundu         42 1826 20041003
JMCG GBR Joseph McGinley        38 1824 20080505
MOTI --- Manase Otieno         187 1823 20071111
MSIG --- Mike Sigley           170 1823 20061106
PCHE --- Pui Cheng Wui         239 1822 20071130
AGOL --- Andrew Golding         52 1822 20070708
ASAM --- Asare Samson           38 1822 20081005
IZET --- Ivor Zetler            27 1819 20000528
YKIA --- Yeo Kian Hung         394 1817 20080629
SHAR --- Simon Harinworrarob   276 1817 20080629
ADRE --- Anne Drew              48 1817 20061106
AFAS --- Ayo Faseyiro           24 1817 20021020
ASAK --- Atiruth Sakdiyakorn   131 1816 20080629
RKHA --- Rashid Khan            93 1816 20051119
TWEI --- Toh Weibin             64 1816 20071204
ORIV --- Oscar Rivera          134 1815 20071129
PVUT --- Purinth Vuttich        60 1812 20071130
RATT --- Ras Attachey           24 1812 20000423
NPRA --- Nakul Prabhu           96 1811 20080113
SVIJ --- Sinna Vijayakumar      48 1810 20070909
MCHA GBR Michael Chappell       25 1809 20080505
RCHA --- Ranganathan Chakrav   216 1808 20080113
AGBO --- Alex Gboye Balogun     50 1808 20080505
BHAR --- Barry Harridge         58 1807 20061129
FTHE --- Francis Theuri         48 1807 20050327
PRAY --- Paloma Raychbart      133 1805 20080504
DPRA --- Daniel Pratt           24 1804 20071111
SSAL --- Salah Salih           289 1803 20080606
FWAC --- Francis Wachira       138 1802 20080405
MCHO --- Montien Choltichanan  133 1802 20080629
FANT --- Ferdy Anthonius        99 1802 20071111
JMCL GBR Jackie McLeod          25 1802 20080505
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
LBIN --- Lois Binnie            14 1802 19991102
LCAP --- Leo Capuno            109 1801 20080606
JGON --- Jodi Gonzalez          86 1801 20051218
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
PRUS GBR Pauline Russell        13 1797 20080210
MBAK --- Michael Baker          24 1795 20071111
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
MEIC --- Maor Eichler           24 1791 20011216
GLAM --- Gwen Lampre             8 1789 19991102
ARIC --- Alastair Richards     281 1788 20080629
TWOK NGA Timi Woko              14 1788 20081005
DLLO --- David Lloyd            72 1787 20031023
RJUD --- Rodney Judd            32 1787 19991106
SPER GBR Steve Perry            81 1786 20080910
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MMAT --- Manabu Matsuda         24 1786 20071111
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
ACHO --- Apirat Choomai        239 1785 20080629
ECOH --- Evan Cohen             60 1785 20080504
DBUA --- Daniel Buadu Akrong    24 1785 20041003
WMWA --- Willy Mwangi           72 1784 20050327
MMAR --- Mwaka Martin           42 1784 20030608
UGRO --- Udayan Grover         126 1783 20080113
NESS NGA Nduonyi Essang         14 1783 20081005
SSIM --- Sandie Simonis         27 1781 20040628
NESA --- Niyi Esan              24 1780 20000423
PNAT --- Pasit Natearpha        42 1779 20071204
DOMU --- Dennis Omulo           24 1779 20021020
EBOA --- Edwin Boama            24 1779 19980412
BAMU --- Benard Amuke           90 1778 20080405
SO'N --- Shane O'Neill          48 1778 20071111
CQUA GBR Chris Quartermaine     25 1775 20080505
DSAL --- Dielle Saldanha        22 1774 20071130
ATAN --- Alex Tan              349 1773 20080629
LWAN --- Lakshan Wanni         222 1772 20071111
GCHE --- Gan Cher Siong        236 1771 20070625
MO'R GBR Mike O'Rourke          68 1771 20080504
ATAN --- Austin Tan Kiat        44 1771 19990627
MJAC THA Mpakaboari Jack        40 1771 20081005
PSHA --- Peter Shaw             17 1771 20061129
VBER --- Victor Berdie          24 1770 20000423
GLOC --- Graeme Lock Lee        44 1768 20061129
MSTA --- Margaret Staunton      16 1768 20030630
PSOD --- Paul Sodje             38 1767 20081005
KSWA --- Kathy Swan             16 1767 20030630
MCHU --- Mohan Chunkath        285 1766 20080113
NSAL --- Norbert Saldanha       82 1766 19990815
RRIC --- Robert Richland        72 1766 20080910
JNAN --- Jim Nanavati           45 1766 19991106
NOGE --- Nerville Ogedegbe      38 1766 20081005
BHUT USA Bill Huttel            14 1765 20080615
SGIL --- Simon Gillam           12 1765 20061201
NMBU --- Nicholas Mbugua        72 1764 20080405
LPRA --- Linda Pray             59 1764 19991106
TLEA --- Tony Leah              84 1763 20071111
MDE  --- Margarida de Souza     24 1763 20011216
SATT --- Solomon Attachey       24 1763 19980412
MSHE --- Martin Sheehan         12 1762 20071203
JDEL --- Jojo Delia             66 1760 20080504
GNEW --- Geoffrey Newman        15 1760 20070708
KKIA --- Korakoch Kiatsommart   27 1759 20040628
ISID --- Irfan Siddiqui        152 1758 20080606
CUME --- Cyril Umebiye          38 1758 20081005
JWID --- Jeff Widergren         18 1758 19951026
NROW GBR Neil Rowley            37 1757 20080111
MBRO --- Maurice Brown          34 1757 20080504
CDAV GBR Christo Davison        13 1757 20080210
RFIN --- Ros Finn               24 1754 19980412
NWAG --- Njihia Wagachiru       24 1752 20021020
MWAF TZA Mackton Wafula         24 1752 20080405
RPUR --- Ricky Purnomo         345 1751 20080629
DLEB --- Denise Lebron          24 1751 19980412
NO'R --- Nuala O'Rourke        107 1749 20080504
CMUS GBR Cecil Muscat           74 1749 20080910
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
DDEL --- David Delicata         90 1748 20080504
IGON --- Irineu Gonsalves      135 1747 20080113
JSNG --- Joshua Sng             40 1747 20061201
KPOK --- Kwame Poku             24 1746 20011216
SBRO --- Steven Brown           72 1745 20061106
ACLO --- Aaron Clottey          24 1745 20011216
RSHA --- Rocky Sharma            8 1745 20061128
APLO --- Amnuay Ploysangngam   438 1743 20080629
LCHA --- Leslie Charles         80 1743 20071111
MMCP --- Marcia McPhee          21 1743 20031228
PTHO GBR Peter Thomas           25 1742 20080505
PSCH --- Pat Schuberg           19 1742 20061129
CMCC GBR Celine McCart          13 1740 20080210
GFOS --- Glenda Foster          56 1739 20041126
KACH --- Kojo Acheampong        48 1739 20060924
BWIT --- Benjamin Withers       41 1739 20050703
MMIR --- Mario Miranda         110 1736 20030629
LLI  --- Lim Li Wei            109 1735 20071204
BMCD --- Brendan McDonnell      60 1734 20051119
SCHU --- Scott Chung            49 1732 20080629
JWAR --- Jim Warmington          8 1732 19991102
MMAN --- Maida Manaog          158 1731 20050626
BIDA NGA Bright Idahosa         14 1731 20081005
BKIN --- Borom Kinthong         80 1730 20080629
